date,window,industry,rank,ret,rel,members
2026-08-02,1M,Broadcasting,53,1.3122255294017855,-1.107128253161949,3
2026-08-02,1M,Electronics/Appliance Stores,54,0.9860430616759208,-1.433310720887814,2
2026-08-02,1M,Industrial Specialties,55,0.9545622563842951,-1.4647915261794395,25
2026-08-02,1M,Other Metals/Minerals,56,0.8715475143400305,-1.5478062682237042,15
2026-08-02,1M,Aluminum,57,0.7055828346886501,-1.7137709478750849,4
2026-08-02,1M,Food: Major Diversified,58,0.6369452756904175,-1.7824085068733173,5
2026-08-02,1M,Integrated Oil,59,0.5681869366680489,-1.851166845895686,3
2026-08-02,1M,Office Equipment/Supplies,60,0.4527392665598968,-1.966614516003838,6
2026-08-02,1M,Pharmaceuticals: Other,61,0.3146016310701068,-2.104752151493628,6
2026-08-02,1M,Hotels/Resorts/Cruise lines,62,0.1542441920257919,-2.265109590537943,11
2026-08-02,1M,Industrial Conglomerates,63,-0.0078414990024697,-2.4271952815662043,3
2026-08-02,1M,Trucks/Construction/Farm Machinery,64,-0.0724887930347477,-2.4918425755984823,19
2026-08-02,1M,Building Products,65,-0.7880357395859201,-3.207389522149655,12
2026-08-02,1M,Investment Trusts/Mutual Funds,66,-0.9884934571829926,-3.407847239746728,4
2026-08-02,1M,Textiles,67,-1.3089583961058984,-3.728312178669633,24
2026-08-02,1M,Financial Publishing/Services,68,-1.3159712059991078,-3.7353249885628426,2
2026-08-02,1M,Investment Managers,69,-1.7803859312771104,-4.199739713840845,13
2026-08-02,1M,Electric Utilities,70,-1.8861616013410087,-4.305515383904743,24
2026-08-02,1M,Marine Shipping,71,-2.183946422668667,-4.603300205232402,3
2026-08-02,1M,Electronics/Appliances,72,-2.3122282969083274,-4.731582079472062,9
2026-08-02,1M,Investment Banks/Brokers,73,-2.618087492829976,-5.037441275393711,21
2026-08-02,1M,Internet Retail,74,-2.632617730692652,-5.051971513256387,4
2026-08-02,1M,Industrial Machinery,75,-3.025861280173583,-5.445215062737318,55
2026-08-02,1M,Major Banks,76,-3.3139167438398456,-5.73327052640358,22
2026-08-02,1M,Semiconductors,77,-3.528748955711336,-5.948102738275071,9
2026-08-02,1M,Electronic Equipment/Instruments,78,-4.000746816994438,-6.420100599558173,8
2026-08-02,1M,Specialty Insurance,79,-4.15390158017424,-6.573255362737974,2
2026-08-02,1M,Electrical Products,80,-4.200340358702517,-6.619694141266252,52
2026-08-02,1M,Forest Products,81,-4.206941234416791,-6.626295016980526,2
2026-08-02,1M,Aerospace & Defense,82,-4.746559824209611,-7.165913606773346,9
2026-08-02,1M,Gas Distributors,83,-4.797185329118861,-7.216539111682596,6
2026-08-02,1M,Other Consumer Services,84,-4.872289106141784,-7.2916428887055185,5
2026-08-02,1M,Apparel/Footwear,85,-4.971558807468254,-7.390912590031989,15
2026-08-02,1M,Engineering & Construction,86,-5.036739819148755,-7.45609360171249,54
2026-08-02,1M,Alternative Power Generation,87,-5.2019878146529726,-7.621341597216707,10
2026-08-02,1M,Multi-Line Insurance,88,-5.371950648233037,-7.791304430796772,5
2026-08-02,1M,Apparel/Footwear Retail,89,-5.523056263690585,-7.94241004625432,12
2026-08-02,1M,Tobacco,90,-5.566297201874031,-7.985650984437766,3
2026-08-02,1M,Coal,91,-6.08904834360513,-8.508402126168864,4
2026-08-02,1M,Telecommunications Equipment,92,-6.7989870710958575,-9.218340853659592,7
2026-08-02,1M,Food: Meat/Fish/Dairy,93,-7.156578767501079,-9.575932550064811,6
2026-08-02,1M,Major Telecommunications,94,-7.184304036548514,-9.603657819112248,6
2026-08-03,1M,Electronics Distributors,1,26.005134936641312,23.817590691727748,4
2026-08-03,1M,Specialty Stores,2,21.034073695289493,18.84652945037593,11
2026-08-03,1M,Oilfield Services/Equipment,3,17.141828956479547,14.954284711565982,3
2026-08-03,1M,Biotechnology,4,17.095838358789415,14.90829411387585,4
2026-08-03,1M,Information Technology Services,5,15.003552498268581,12.816008253355015,30
2026-08-03,1M,Data Processing Services,6,14.739611809732095,12.552067564818529,3
2026-08-03,1M,Electronic Components,7,13.244725863014626,11.057181618101062,5
2026-08-03,1M,Movies/Entertainment,8,10.19261627665492,8.005072031741356,7
2026-08-03,1M,Air Freight/Couriers,9,8.600474692396338,6.412930447482773,9
2026-08-03,1M,Motor Vehicles,10,8.111083752662445,5.92353950774888,16
2026-08-03,1M,Containers/Packaging,11,7.389171779441644,5.201627534528079,11
2026-08-03,1M,Beverages: Alcoholic,12,6.108890974930059,3.921346730016494,9
2026-08-03,1M,Internet Software/Services,13,5.956414386518592,3.768870141605027,13
2026-08-03,1M,Homebuilding,14,5.881125948910178,3.693581703996613,4
2026-08-03,1M,Medical/Nursing Services,15,5.661753303431224,3.4742090585176593,10
2026-08-03,1M,Railroads,16,5.646197197400489,3.458652952486924,2
2026-08-03,1M,Electronic Production Equipment,17,5.630097215644113,3.4425529707305484,10
2026-08-03,1M,Packaged Software,18,5.337412272683198,3.1498680277696334,37
2026-08-03,1M,Financial Conglomerates,19,5.319607344630381,3.1320630997168157,8
2026-08-03,1M,Pharmaceuticals: Major,20,5.1762833018225605,2.9887390569089956,79
2026-08-03,1M,Miscellaneous Commercial Services,21,5.092646747721465,2.9051025028079005,34
2026-08-03,1M,Life/Health Insurance,22,4.651144798630877,2.4636005537173125,8
2026-08-03,1M,Real Estate Development,23,4.506929945964617,2.3193857010510524,35
2026-08-03,1M,Pulp & Paper,24,4.20854027197277,2.020996027059205,4
2026-08-03,1M,Personnel Services,25,3.925783491784445,1.7382392468708803,2
2026-08-03,1M,Miscellaneous Manufacturing,26,3.8721461405567217,1.6846018956431568,13
2026-08-03,1M,Other Consumer Specialties,27,3.7664351963033806,1.5788909513898157,17
2026-08-03,1M,Chemicals: Specialty,28,3.633127542240281,1.4455832973267162,51
2026-08-03,1M,Finance/Rental/Leasing,29,3.623859233947296,1.4363149890337312,55
2026-08-03,1M,Metal Fabrication,30,3.4345130983011813,1.2469688533876164,28
2026-08-03,1M,Oil Refining/Marketing,31,3.2017452518289575,1.0142010069153926,10
2026-08-03,1M,Auto Parts: OEM,32,3.0810486602686016,0.8935044153550367,52
2026-08-03,1M,Chemicals: Agricultural,33,2.997861981650852,0.8103177367372871,26
2026-08-03,1M,Regional Banks,34,2.6988736051359408,0.5113293602223759,19
2026-08-03,1M,Wireless Telecommunications,35,2.677905491698594,0.4903612467850289,3
2026-08-03,1M,Construction Materials,36,2.3233414560302,0.135797211116635,21
2026-08-03,1M,Food: Specialty/Candy,37,2.3041100193011044,0.11656577438753946,19
2026-08-03,1M,Restaurants,38,2.1905752847358677,0.0030310398223027946,7
2026-08-03,1M,Trucking,39,2.130453461211677,-0.057090783701887915,3
2026-08-03,1M,Steel,40,2.0470940652045946,-0.14045017970897034,49
2026-08-03,1M,Chemicals: Major Diversified,41,1.7465997927701227,-0.44094445214344224,12
2026-08-03,1M,Agricultural Commodities/Milling,42,1.6170744250337403,-0.5704698198798246,24
2026-08-03,1M,Airlines,43,1.5369883876722228,-0.6505558572413421,2
2026-08-03,1M,Other Transportation,44,1.3146795957649342,-0.8728646491486307,4
2026-08-03,1M,Wholesale Distributors,45,1.0311450644017293,-1.1563991805118357,16
2026-08-03,1M,Real Estate Investment Trusts,46,0.8696121051748956,-1.3179321397386694,7
2026-08-03,1M,Industrial Specialties,47,0.7630142445733501,-1.4245300003402148,25
2026-08-03,1M,Medical Specialties,48,0.726414922604756,-1.4611293223088089,5
2026-08-03,1M,Automotive Aftermarket,49,0.7028322747897154,-1.4847119701238496,8
2026-08-03,1M,Publishing: Newspapers,50,0.6875904840323581,-1.4999537608812068,2
2026-08-03,1M,Hotels/Resorts/Cruise lines,51,0.5737600901023376,-1.6137841548112273,16
2026-08-03,1M,Electronics/Appliances,52,0.5032139683605006,-1.6843302765530643,9
2026-08-03,1M,Integrated Oil,53,0.2929626224098929,-1.894581622503672,4
2026-08-03,1M,Other Metals/Minerals,54,0.2919712893104217,-1.8955729556031433,15
2026-08-03,1M,Electronic Equipment/Instruments,55,0.2022985972851119,-1.985245647628453,8
2026-08-03,1M,Pharmaceuticals: Other,56,0.18108073915174053,-2.0064635057618245,5
2026-08-03,1M,Home Furnishings,57,-0.00265527987571329,-2.190199524789278,7
2026-08-03,1M,Hospital/Nursing Management,58,-0.22474301485198234,-2.4122872597655474,16
2026-08-03,1M,Food: Major Diversified,59,-0.36085160523871884,-2.548395850152284,5
2026-08-03,1M,Textiles,60,-0.41773983068814957,-2.6052840756017144,26
2026-08-03,1M,Trucks/Construction/Farm Machinery,61,-0.4712069449325225,-2.6587511898460874,19
2026-08-03,1M,Household/Personal Care,62,-0.5491415002223836,-2.7366857451359485,12
2026-08-03,1M,Financial Publishing/Services,63,-0.7417199068845945,-2.9292641517981597,2
2026-08-03,1M,Electrical Products,64,-1.0307370504646058,-3.218281295378171,53
2026-08-03,1M,Industrial Machinery,65,-1.2412179977977884,-3.428762242711353,57
2026-08-03,1M,Aluminum,66,-1.4634247488579963,-3.6509689937715613,4
2026-08-03,1M,Internet Retail,67,-1.5722568357153293,-3.759801080628894,4
2026-08-03,1M,Marine Shipping,68,-1.587028624573259,-3.774572869486824,3
2026-08-03,1M,Electric Utilities,69,-1.7433770285343329,-3.9309212734478978,24
2026-08-03,1M,Forest Products,70,-1.973887240161673,-4.161431485075238,4
2026-08-03,1M,Building Products,71,-2.0612803618698337,-4.248824606783399,12
2026-08-03,1M,Office Equipment/Supplies,72,-2.073656521375166,-4.261200766288731,5
2026-08-03,1M,Industrial Conglomerates,73,-2.301198363908581,-4.488742608822146,4
2026-08-03,1M,Major Banks,74,-2.3723567319264194,-4.559900976839984,22
2026-08-03,1M,Specialty Insurance,75,-2.963379068592735,-5.1509233135063,2
2026-08-03,1M,Gas Distributors,76,-2.976534292254652,-5.164078537168217,6
2026-08-03,1M,Electronics/Appliance Stores,77,-3.7285991205474467,-5.916143365461012,2
2026-08-03,1M,Engineering & Construction,78,-3.7858710660006256,-5.9734153109141905,55
2026-08-03,1M,Investment Trusts/Mutual Funds,79,-3.8678521932793806,-6.055396438192945,3
2026-08-03,1M,Other Consumer Services,80,-3.929262033202608,-6.116806278116172,5
2026-08-03,1M,Investment Managers,81,-4.00507089234344,-6.192615137257005,13
2026-08-03,1M,Telecommunications Equipment,82,-4.181815452893389,-6.369359697806954,7
2026-08-03,1M,Food: Meat/Fish/Dairy,83,-4.201307536901961,-6.388851781815526,6
2026-08-03,1M,Aerospace & Defense,84,-4.21994978632119,-6.407494031234755,9
2026-08-03,1M,Tobacco,85,-4.230964289158854,-6.418508534072419,3
2026-08-03,1M,Multi-Line Insurance,86,-4.3099355860805195,-6.497479830994084,5
2026-08-03,1M,Apparel/Footwear Retail,87,-4.975166015486065,-7.1627102603996295,12
2026-08-03,1M,Semiconductors,88,-5.268951978410116,-7.456496223323681,10
2026-08-03,1M,Apparel/Footwear,89,-5.352235563695013,-7.539779808608578,18
2026-08-03,1M,Alternative Power Generation,90,-5.3826426874055855,-7.57018693231915,10
2026-08-03,1M,Investment Banks/Brokers,91,-5.469344348990802,-7.656888593904367,22
2026-08-03,1M,Coal,92,-6.145110812911877,-8.332655057825441,4
2026-08-03,1M,Oil & Gas Production,93,-6.338895684184986,-8.52643992909855,3
2026-08-03,1M,Major Telecommunications,94,-6.720392222205504,-8.907936467119068,5
2026-08-03,1M,Broadcasting,95,-7.2789584433713905,-9.466502688284955,3
